2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2P,2P%,2PA,3P,3P%,3PA,AST,Age,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,G,GS,Guaranteed,MP,ORB,PF,PTS,Player,Pos,STL,Signed Using,TOV,TRB,eFG%
30431854,37800000,40824000,43848000,46872000,0,5.4,0.53,10.1,3.7,0.37,10.0,8.8,28,0.7,4.8,9.0,0.45,20.1,8.7,0.86,10.1,72,72,152903854,35.4,0.6,2.3,30.4,James Harden,SG,1.8,Bird Rights,4.4,5.3999999999999995,0.54
6041520,7059480,8930242,0,0,0,4.3,0.46,9.3,0.7,0.25,2.8,1.5,20,0.5,3.3,5.1,0.42,12.1,2.3,0.64,3.6,77,35,13101000,25.4,1.2,2.8,13.1,Josh Jackson,SF,1.0,1st Round Pick,1.9,4.5,0.45
1544951,2305057,0,0,0,0,0.7,0.47,1.5,0.0,0.0,0.0,0.1,22,0.2,0.6,0.7,0.47,1.5,0.2,0.67,0.3,15,0,3850008,5.9,0.3,0.9,1.7,Damian Jones,C,0.1,1st Round pick,0.3,0.8999999999999999,0.47
13045455,11954546,10863637,0,0,0,1.6,0.52,3.1,2.5,0.44,5.7,4.8,30,0.2,3.9,4.1,0.47,8.8,0.8,0.8,1.0,82,81,35863638,31.4,0.3,2.2,11.5,Joe Ingles,SF,1.1,Bird Rights,1.9,4.2,0.61
1740000,2033160,3665787,0,0,0,0.9,0.47,1.9,0.0,0.0,0.3,0.5,20,0.1,1.4,0.9,0.41,2.2,0.4,0.57,0.7,27,3,3773160,7.0,0.6,1.4,2.3,Caleb Swanigan,PF,0.2,1st Round Pick,0.7,2.0,0.41
3000000,0,0,0,0,0,4.7,0.52,9.12,0.5,0.34,1.47,6.23,23,0.33,3.33,5.21,0.49,10.59,1.7,0.63,2.68,126,126,3000000,28.71,1.02,2.31,12.67,Elfrid Payton,PG,1.32,Bi-annual Exception,2.68,4.35,0.52
16539326,17617977,0,0,0,0,4.7,0.59,8.0,0.4,0.4,1.0,1.1,25,0.9,6.2,5.1,0.57,8.9,2.2,0.81,2.7,77,77,16539326,22.4,2.4,2.5,12.7,Jonas Valanciunas,C,0.4,1st Round Pick,1.5,8.6,0.6
327566,0,0,0,0,0,1.0,0.56,1.8,0.0,0.0,0.0,1.2,26,0.8,2.9,1.0,0.56,1.8,0.2,0.5,0.4,67,3,327566,12.0,1.2,1.7,2.1,Eric Moreland,PF,0.5,/,0.6,4.1,0.56
14681317,0,0,0,0,0,2.4,0.52,4.6,0.0,0.0,0.0,0.6,28,0.4,2.7,2.4,0.52,4.6,1.1,0.69,1.6,32,7,14681317,14.4,2.1,1.6,5.9,Kenneth Faried,PF,0.4,/,0.7,4.800000000000001,0.52
1656092,10600000,11400000,12300000,0,0,2.3,0.45,5.1,1.8,0.33,5.4,6.6,24,0.3,2.7,4.1,0.39,10.5,2.7,0.79,3.4,80,58,23656092,28.8,0.5,2.3,12.6,Spencer Dinwiddie,PG,0.9,Minimum Salary,1.6,3.2,0.48
22347015,26000000,24000000,0,0,0,8.8,0.53,16.7,0.4,0.33,1.2,2.0,32,1.2,5.2,9.2,0.51,18.0,4.5,0.85,5.3,75,75,55347015,33.5,3.3,2.1,23.1,LaMarcus Aldridge,C,0.6,Cap Space,1.5,8.5,0.52
8808685,8664928,0,0,0,0,3.6,0.55,6.5,1.6,0.43,3.7,2.3,28,0.1,2.2,5.2,0.51,10.1,0.6,0.75,0.8,82,80,17473613,31.5,0.7,2.2,12.5,E'Twaun Moore,SG,1.0,Cap Space,1.2,2.9000000000000004,0.59
2284769,1645357,0,0,0,0,0.9,0.39,2.3,0.5,0.31,1.6,0.5,21,0.0,1.9,1.4,0.37,3.8,0.7,0.87,0.8,38,0,2712058,8.7,0.3,0.6,4.0,Henry Ellenson,PF,0.1,//,0.5,2.1999999999999997,0.43
1619000,0,0,0,0,0,1.1,0.48,2.3,1.4,0.35,4.0,1.3,22,0.8,2.7,2.5,0.4,6.3,0.4,0.67,0.6,20,1,1619000,16.3,0.6,1.4,6.7,Luke Kornet,PF,0.3,,0.6,3.3000000000000003,0.51
7866667,0,0,0,0,0,3.3,0.5,6.6,0.8,0.35,2.3,1.4,27,0.5,5.8,4.1,0.46,8.9,1.5,0.75,2.0,55,54,7866667,28.0,2.7,2.8,10.3,JaMychal Green,PF,0.6,Bird Rights,1.4,8.5,0.51
3410284,18000000,18000000,18000000,18000000,0,3.8,0.51,7.4,0.9,0.38,2.4,1.3,21,1.8,5.0,4.7,0.48,9.8,2.5,0.78,3.2,65,62,75410284,28.2,1.4,2.9,12.7,Myles Turner,C,0.6,1st round pick,1.5,6.4,0.53
7305825,7815533,0,0,0,0,2.0,0.49,4.1,1.4,0.33,4.29,1.22,27,0.27,2.7,3.4,0.41,8.39,1.52,0.81,1.87,160,94,15121358,26.12,0.73,2.3,9.69,Jae Crowder,SF,0.82,Bird Rights,0.92,3.43,0.49
1795015,0,0,0,0,0,4.3,0.55,7.8,1.1,0.38,2.9,4.7,25,0.1,1.6,5.4,0.5,10.7,1.0,0.62,1.6,36,9,1795015,21.8,0.4,1.2,12.8,Trey Burke,PG,0.7,Minimum Salary,1.2,2.0,0.56
22900000,0,0,0,0,0,4.8,0.64,7.5,0.0,0.0,0.0,1.5,29,0.9,10.9,4.8,0.64,7.5,2.4,0.59,4.1,77,77,22900000,31.5,4.3,2.6,12.0,DeAndre Jordan,C,0.5,,1.8,15.2,0.64
24107258,25102512,0,0,0,0,5.4,0.47,11.4,1.5,0.35,4.3,2.0,25,0.2,5.1,7.0,0.45,15.7,3.4,0.83,4.1,77,77,24107258,34.2,1.0,1.2,18.9,Harrison Barnes,PF,0.6,Cap Space,1.5,6.1,0.49
1378242,1618520,0,0,0,0,1.1,0.52,2.1,0.5,0.33,1.5,0.7,23,0.0,1.7,1.6,0.43,3.7,0.4,0.8,0.5,44,2,1378242,10.8,0.2,0.8,4.1,Damyean Dotson,SG,0.3,Minimum Salary,0.4,1.9,0.5
24605181,26573595,28542009,30510423,32478837,0,5.2,0.54,9.7,1.5,0.41,3.7,6.1,22,0.8,8.1,6.7,0.5,13.5,3.5,0.83,4.2,75,73,142710045,32.6,2.6,2.8,18.5,Nikola Jokic,C,1.2,,2.8,10.7,0.55
20445779,19841627,0,0,0,0,6.2,0.51,12.2,1.2,0.35,3.4,4.9,28,0.4,4.0,7.4,0.47,15.6,6.2,0.86,7.2,59,59,20445779,36.7,1.3,1.3,22.2,Jimmy Butler,SG,2.0,Bird Rights,1.8,5.3,0.51
264919,0,0,0,0,0,0.5,0.62,0.8,0.7,0.39,1.8,0.3,25,0.2,1.3,1.2,0.44,2.7,0.3,0.6,0.5,6,4,264919,13.3,0.5,1.0,3.3,Okaro White,PF,0.2,,0.2,1.8,0.57
1952760,2281800,3872215,0,0,0,1.2,0.6,2.0,1.0,0.37,2.7,0.7,20,0.2,1.9,2.2,0.47,4.7,0.5,0.62,0.8,74,62,4234560,20.0,0.6,1.8,5.9,OG Anunoby,SF,0.7,1st Round Pick,0.6,2.5,0.57
2526840,3481986,0,0,0,0,2.9,0.46,6.3,2.1,0.38,5.6,2.6,23,0.5,4.1,5.1,0.43,11.9,1.9,0.86,2.2,82,82,6008826,30.0,0.6,2.0,14.1,Taurean Waller-Prince,SF,1.0,1st Round pick,2.3,4.699999999999999,0.52
30000000,31500000,0,0,0,0,6.7,0.56,11.9,2.5,0.41,6.1,5.4,29,1.8,6.4,9.3,0.52,18.0,5.3,0.9,5.9,68,68,30000000,34.2,0.5,2.0,26.4,Kevin Durant,PF,0.7,,3.0,6.9,0.59
6300000,0,0,0,0,0,1.4,0.5,2.8,2.0,0.38,5.2,4.6,30,0.1,2.4,3.4,0.42,8.0,0.9,0.9,1.0,45,36,6300000,25.2,0.4,2.3,9.5,Milos Teodosic,PG,0.5,,2.2,2.8,0.55
5757120,7265485,0,0,0,0,5.4,0.49,11.1,0.7,0.39,1.8,3.9,20,0.7,4.4,6.1,0.47,12.9,3.3,0.69,4.8,59,59,13022605,33.5,1.0,2.8,16.1,Brandon Ingram,SF,0.8,1st Round pick,2.5,5.4,0.5
6957105,0,0,0,0,0,1.5,0.43,3.5,1.8,0.37,4.9,1.2,27,0.6,6.2,3.3,0.39,8.4,0.9,0.75,1.2,69,67,6957105,30.0,1.4,2.0,9.3,Al-Farouq Aminu,PF,1.1,Cap Space,1.1,7.6,0.5
2299080,2686560,4137302,0,0,0,4.0,0.6,6.7,0.2,0.33,0.6,1.3,20,1.1,4.9,4.2,0.57,7.4,1.8,0.72,2.5,74,26,4985640,24.1,2.4,2.9,10.5,John Collins,PF,0.6,1st Round Pick,1.4,7.300000000000001,0.58
14357750,0,0,0,0,0,5.3,0.54,9.9,0.1,0.5,0.2,1.9,29,0.8,2.4,5.3,0.52,10.1,1.1,0.79,1.4,64,64,14357750,26.4,2.1,1.7,11.8,Robin Lopez,C,0.2,Cap Space,1.7,4.5,0.53
2947320,3754886,0,0,0,0,3.1,0.66,4.7,0.0,0.0,0.0,0.7,22,1.2,2.8,3.1,0.66,4.7,0.7,0.58,1.2,82,0,6702206,18.6,2.0,2.6,6.9,Jakob Poeltl,C,0.5,1st Round pick,1.0,4.8,0.66
2165481,0,0,0,0,0,0.5,0.42,1.2,0.1,0.1,1.0,0.4,29,0.1,0.8,0.6,0.29,2.1,0.6,0.86,0.7,23,1,2165481,8.5,0.3,1.0,2.0,Quincy Pondexter,SF,0.3,,0.5,1.1,0.31
17868852,18606557,0,0,0,0,2.7,0.48,5.6,0.5,0.29,1.7,2.2,29,0.4,2.7,3.3,0.45,7.3,1.2,0.86,1.4,79,40,36475409,25.7,0.4,2.1,8.2,Evan Turner,SF,0.6,Cap Space,1.3,3.1,0.49
5470920,6392760,8099627,0,0,0,3.8,0.43,8.8,0.6,0.29,2.1,4.4,20,0.3,2.3,4.5,0.41,10.9,1.9,0.7,2.7,73,60,11863680,27.8,0.5,2.2,11.6,De'Aaron Fox,PG,1.0,1st Round Pick,2.4,2.8,0.44
28928710,30123015,0,0,0,0,3.8,0.52,7.3,1.3,0.42,3.1,4.7,31,1.1,5.9,5.1,0.49,10.5,1.3,0.76,1.7,72,72,28928710,31.6,1.4,1.9,12.9,Al Horford,C,0.6,Cap Space,1.8,7.300000000000001,0.55
1567007,1702486,0,0,0,0,2.72,0.57,4.79,0.0,0.0,0.14,0.4,22,0.61,2.31,2.77,0.56,4.93,0.76,0.73,1.04,56,0,1567007,12.6,0.8,1.81,6.3,Jahlil Okafor,C,0.1,Minimum Salary,0.78,3.1100000000000003,0.56
5451600,5711200,0,0,0,0,0.5,0.42,1.2,0.8,0.38,2.1,0.7,28,0.3,2.0,1.3,0.41,3.2,0.5,0.83,0.6,82,3,5451600,15.5,0.4,1.1,3.9,Patrick Patterson,PF,0.6,MLE,0.4,2.4,0.53
92857,92857,92857,92857,92857,92857,0.39,0.53,0.73,0.08,0.17,0.48,0.59,23,0.09,0.49,0.47,0.39,1.21,0.08,0.67,0.12,30,0,557142,5.34,0.3,0.48,1.1,Demetrius Jackson,PG,0.3,,0.7,0.79,0.42
1349383,0,0,0,0,0,0.3,0.75,0.4,0.4,0.31,1.3,1.5,23,0.0,1.0,0.7,0.41,1.7,0.2,0.67,0.3,24,0,1349383,12.7,0.0,0.8,2.0,Ryan Arcidiacono,PG,0.5,Minimum Salary,0.5,1.0,0.53
26011913,27250576,28489239,0,0,0,4.0,0.54,7.4,1.8,0.44,4.1,2.0,24,0.5,5.1,5.8,0.5,11.5,1.4,0.82,1.7,77,77,53262489,31.6,1.3,2.0,14.7,Otto Porter,SF,1.5,Bird Rights,1.0,6.3999999999999995,0.58
1378242,0,0,0,0,0,1.5,0.37,4.1,0.3,0.27,1.1,2.1,21,0.1,1.6,1.9,0.36,5.3,0.8,0.8,1.0,48,4,1378242,16.2,0.2,2.0,4.8,Jawun Evans,PG,0.8,,0.9,1.8,0.39
2000400,0,0,0,0,0,1.1,0.44,2.5,0.0,0.0,0.0,0.53,20,0.39,1.41,1.1,0.44,2.5,0.0,0.0,0.0,34,0,2000400,7.2,0.81,0.73,2.1,Georgios Papagiannis,C,0.21,,0.49,2.2199999999999998,0.44
7333334,7333334,7333333,0,0,0,1.8,0.5,3.61,1.13,0.42,2.68,0.98,26,0.2,1.98,2.9,0.46,6.29,0.78,0.76,1.02,162,8,22000001,21.81,0.5,1.5,7.79,Doug McDermott,SF,0.22,,0.68,2.48,0.55
2500000,0,0,0,0,0,1.49,0.55,2.7,0.8,0.35,2.29,0.68,30,0.4,3.01,2.22,0.44,4.99,0.42,0.6,0.7,146,50,2500000,21.41,1.1,1.52,5.73,Dante Cunningham,SF,0.5,Bi-annual Exception,0.48,4.109999999999999,0.53
19000000,19000000,0,0,0,0,3.9,0.48,8.1,1.2,0.36,3.3,7.0,29,0.3,2.6,5.1,0.45,11.3,2.9,0.85,3.4,70,70,38000000,33.0,0.3,2.4,14.2,Jeff Teague,PG,1.5,Cap space,2.5,2.9,0.5
1378242,0,0,0,0,0,1.6,0.53,3.0,0.0,0.0,0.0,0.8,25,0.5,2.6,1.6,0.53,3.0,1.0,0.67,1.5,42,0,1378242,13.8,1.7,1.3,4.2,Khem Birch,C,0.4,Minimum Salary,0.5,4.3,0.53
3208630,0,0,0,0,0,2.4,0.46,5.2,1.6,0.35,4.6,1.2,22,0.4,3.8,3.9,0.4,9.8,2.4,0.83,2.9,81,11,3208630,27.5,0.7,2.9,11.8,Kelly Oubre,SF,1.0,1st round pick,1.1,4.5,0.48
17325000,18150000,18975000,0,0,0,4.0,0.51,7.8,2.3,0.32,7.2,2.7,25,0.2,3.4,6.3,0.42,15.0,2.6,0.84,3.1,57,54,35475000,33.1,0.6,2.2,17.5,Tim Hardaway,SG,1.1,Cap space,1.6,4.0,0.5
1656092,0,0,0,0,0,4.6,0.46,10.0,2.7,0.59,4.6,3.6,29,0.4,1.9,7.3,0.5,14.6,2.9,0.88,3.3,7,1,1656092,27.6,1.1,0.9,20.1,MarShon Brooks,SG,1.6,,2.3,3.0,0.59
27977689,29802321,31626953,0,0,0,5.4,0.5,10.8,3.1,0.36,8.6,6.6,27,0.4,3.6,8.5,0.44,19.4,6.8,0.92,7.4,73,73,89406963,36.6,0.8,1.6,26.9,Damian Lillard,PG,1.1,1st Round Pick,2.8,4.4,0.52
2470357,0,0,0,0,0,4.8,0.48,9.9,0.2,0.25,0.8,2.5,23,0.7,5.3,5.0,0.47,10.6,3.7,0.8,4.6,68,59,2470357,28.2,1.5,2.1,13.9,Rondae Hollis-Jefferson,SF,1.0,1st Round pick,1.8,6.8,0.48
9000000,8529386,0,0,0,0,2.8,0.49,5.7,1.7,0.4,4.2,3.3,25,0.2,2.5,4.4,0.44,9.9,1.3,0.87,1.5,78,53,17529386,27.9,0.4,2.2,11.8,Bogdan Bogdanovic,SG,0.9,Cap space,1.6,2.9,0.53
1826513,0,0,0,0,0,0.9,0.45,2.0,0.3,0.33,0.9,3.3,27,0.1,1.6,1.2,0.41,2.9,0.4,0.8,0.5,59,11,1826513,14.2,0.3,1.6,3.0,Tim Frazier,PG,0.8,/,1.0,1.9000000000000001,0.47
3360000,0,0,0,0,0,1.0,0.53,1.9,0.0,0.0,0.0,0.8,30,1.2,1.3,1.0,0.53,1.9,0.7,0.78,0.9,63,3,3360000,12.9,1.1,1.7,2.6,Ekpe Udoh,C,0.7,Room Exception,0.3,2.4000000000000004,0.53
1349383,1588231,0,0,0,0,2.0,0.42,4.8,0.8,0.3,2.7,1.1,21,0.1,1.5,2.8,0.37,7.5,1.6,0.76,2.1,19,0,2937614,16.5,0.2,1.0,7.9,Antonio Blakeney,SG,0.4,Minimum Salary,0.6,1.7,0.43
6000000,6000000,0,0,0,0,4.6,0.65,7.1,0.0,0.0,0.1,1.0,24,0.7,2.7,4.6,0.64,7.2,1.8,0.62,2.9,76,3,12000000,17.0,1.4,1.9,11.0,Montrezl Harrell,C,0.5,,0.9,4.1,0.64
25467250,27270000,29290000,31310000,33330000,0,7.0,0.52,13.4,1.0,0.29,3.4,3.2,23,1.8,8.7,8.1,0.48,16.8,5.7,0.77,7.4,63,63,25467250,30.3,2.3,3.3,22.9,Joel Embiid,C,0.6,1st Round Pick,3.7,11.0,0.51
15000000,15625000,16875000,18125000,19375000,0,4.64,0.55,8.51,1.69,0.35,4.89,5.01,28,0.6,3.11,6.33,0.47,13.4,3.41,0.79,4.31,148,148,85000000,31.37,0.71,2.49,17.71,Eric Bledsoe,PG,1.99,Bird Rights,2.91,3.82,0.54
685341,685340,685340,0,0,0,0.2,0.29,0.7,0.0,0.0,0.0,0.1,29,0.0,0.6,0.2,0.29,0.7,0.1,0.33,0.3,21,0,2056021,2.3,0.1,0.5,0.6,Cole Aldrich,C,0.1,,0.0,0.7,0.29
1378242,1618520,0,0,0,0,1.1,0.46,2.4,0.6,0.35,1.7,1.4,24,0.2,3.1,1.7,0.41,4.1,0.9,0.82,1.1,69,4,1378242,16.7,0.4,1.5,5.0,Royce O'Neale,SF,0.5,Cap space,0.8,3.5,0.49
4384616,0,0,0,0,0,1.8,0.39,4.6,2.2,0.35,6.2,2.1,28,0.4,3.6,4.0,0.37,10.9,1.9,0.83,2.3,72,72,4384616,31.5,0.4,1.9,12.2,Justin Holiday,SG,1.1,MLE,1.3,4.0,0.47
21000000,21000000,21000000,0,0,0,6.4,0.53,12.1,2.1,0.36,5.8,4.3,25,0.8,4.6,8.5,0.47,17.9,3.9,0.8,4.9,75,75,63000000,34.0,0.6,2.3,23.1,Victor Oladipo,SG,2.4,1st Round Pick,2.9,5.199999999999999,0.53
7969537,8349039,7969537,0,0,0,0.7,0.44,1.6,1.4,0.37,3.8,0.9,32,0.3,4.4,2.1,0.39,5.4,0.5,0.71,0.7,82,34,18887764,27.8,1.1,2.5,6.1,P.J. Tucker,PF,1.0,MLE,0.9,5.5,0.52
2166360,3321030,0,0,0,0,0.6,0.6,1.0,0.6,0.3,2.0,0.5,22,0.1,1.4,1.2,0.4,3.0,0.4,0.8,0.5,25,3,5487390,11.1,0.7,1.0,3.3,Juan Hernangomez,PF,0.2,1st Round pick,0.4,2.0999999999999996,0.5
1544951,0,0,0,0,0,1.2,0.57,2.1,0.8,0.42,1.9,0.9,26,0.2,1.2,2.0,0.49,4.1,0.2,0.5,0.4,18,2,1544951,16.6,0.6,1.2,5.1,Rodney McGruder,SG,0.4,Minimum Salary,0.2,1.7999999999999998,0.59
35654150,38506482,41358814,44211146,0,0,3.8,0.53,7.2,2.5,0.38,6.5,7.9,32,0.2,4.8,6.3,0.46,13.8,3.5,0.92,3.8,58,58,159730592,31.8,0.6,2.4,18.6,Chris Paul,PG,1.7,,2.2,5.3999999999999995,0.55
7464912,0,0,0,0,0,0.7,0.54,1.3,0.4,0.33,1.2,0.5,29,0.2,0.6,1.2,0.48,2.5,0.1,0.5,0.2,19,1,7464912,7.4,0.2,1.2,2.8,Darrell Arthur,PF,0.4,,0.8,0.8,0.56
2500000,0,0,0,0,0,2.3,0.53,4.3,2.0,0.44,4.5,1.5,26,0.2,2.0,4.3,0.49,8.8,0.6,0.75,0.8,62,52,2500000,27.9,0.4,1.1,11.3,Reggie Bullock,SF,0.8,Cap space,0.8,2.4,0.6
7945000,0,0,0,0,0,2.3,0.46,5.0,0.8,0.35,2.3,3.2,26,0.2,2.7,3.1,0.42,7.4,0.9,0.82,1.1,82,17,7945000,27.0,0.5,1.7,7.9,Cory Joseph,PG,1.0,Cap Space,1.1,3.2,0.47
25434263,27093019,28751775,0,0,0,6.0,0.54,11.2,0.0,0.0,0.1,3.0,24,1.6,10.9,6.0,0.53,11.3,3.1,0.61,5.1,78,78,52527282,33.7,5.1,3.2,15.0,Andre Drummond,C,1.5,Cap Space,2.6,16.0,0.53
200000,0,0,0,0,0,2.4,0.47,5.1,0.8,0.32,2.5,3.2,23,0.5,1.9,3.2,0.42,7.7,2.2,0.79,2.8,56,46,200000,23.7,0.4,2.5,9.5,Andrew Harrison,PG,0.7,,1.4,2.3,0.47
12000000,12960000,0,0,0,0,4.01,0.44,9.19,1.64,0.37,4.43,2.03,27,0.2,2.03,5.6,0.41,13.62,1.37,0.77,1.79,92,92,12000000,31.18,0.5,2.0,14.27,Avery Bradley,SG,1.12,,2.18,2.53,0.47
8739500,0,0,0,0,0,3.1,0.56,5.5,0.0,0.0,0.0,1.2,28,0.5,4.5,3.1,0.56,5.5,0.5,0.5,1.0,71,13,8739500,19.6,2.1,2.1,6.7,Kosta Koufos,C,0.7,Cap Space,0.7,6.6,0.56
311070,0,0,0,0,0,1.0,0.5,2.0,1.5,0.37,4.1,0.5,32,0.1,1.3,2.5,0.41,6.1,0.7,0.87,0.8,80,8,311070,17.4,0.3,1.3,7.3,Nick Young,SG,0.5,,0.5,1.6,0.53
7000000,7000000,0,0,0,0,0.9,0.6,1.5,1.2,0.36,3.3,1.0,25,0.4,1.8,2.1,0.44,4.8,0.5,0.83,0.6,77,10,14000000,14.1,0.2,1.2,5.9,Davis Bertans,PF,0.3,Early Bird Rights,0.5,2.0,0.56
4449000,0,0,0,0,0,2.9,0.6,4.8,0.1,0.5,0.2,2.1,27,1.3,4.5,2.9,0.58,5.0,1.3,0.81,1.6,77,10,4449000,18.0,1.6,2.5,7.1,Kyle O'Quinn,C,0.5,Room Exception,1.3,6.1,0.59
3206160,0,0,0,0,0,2.0,0.5,4.0,0.8,0.31,2.6,1.2,20,1.0,4.4,2.8,0.42,6.6,1.3,0.59,2.2,72,49,3206160,21.2,1.1,2.8,7.7,Marquese Chriss,PF,0.7,1st Rd pick,1.5,5.5,0.48
1378252,0,0,0,0,0,2.0,0.62,3.2,0.0,0.0,0.1,1.8,23,1.0,2.6,2.0,0.62,3.2,0.5,0.62,0.8,57,13,1378252,14.2,1.1,1.6,4.6,Jordan Bell,C,0.6,Minimum Salary,0.9,3.7,0.62
10837079,11511234,0,0,0,0,1.7,0.57,3.0,0.8,0.4,2.0,0.9,24,0.7,2.0,2.5,0.5,5.0,0.7,0.7,1.0,59,36,22348313,21.4,0.8,1.7,6.5,Maurice Harkless,SF,0.8,Cap Space,0.7,2.8,0.58
